,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
112,0.3062192469,_A,2013,36,38,BG,0.0,1,9,3,2,9,2013,1,2,32.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,H,999.0,,9,9,9,04,9,9,9,9
152,0.5369538829,_A,2013,6,7,BG,0.0,1,9,3,2,2,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,10.0,5,4,2.0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,5.0,9,9,F,03,9,9,9,F
174,0.2636536069,_A,2013,19,20,BG,3.0,1,9,3,2,5,2013,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,6.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,,9,9,9,04,9,9,9,9
180,0.3511566138,_A,2013,43,44,BG,0.0,1,9,3,2,10,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2013,8.0,5,4,2.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,1,0,M,999.0,2.0,9,9,F,03,9,9,9,F
186,0.2438460967,_A,2013,10,11,BG,0.0,1,9,3,2,3,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,2.0,5,4,2.0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,M,999.0,5.0,9,9,G,02,9,9,9,G
220,0.116559367,_A,2013,33,34,BG,3.0,1,9,3,2,8,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,8.0,5,4,6.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,5.0,9,9,N,05,9,9,9,H
229,0.1941390466,_A,2013,51,3,BG,0.0,1,9,3,2,12,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,9.0,5,4,2.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,5.0,9,9,F,02,9,9,9,F
235,0.1809390045,_A,2013,9,10,BG,3.0,1,9,3,2,2,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,6.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,L,999.0,7.0,9,9,C,03,9,9,9,B
240,0.2624456461,_A,2013,24,25,BG,0.0,1,9,3,2,6,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2003,99.0,9,4,2.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,,9,9,9,9
248,0.203597728,_A,2013,37,38,BG,3.0,1,9,3,2,9,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2003,99.0,9,4,3.0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,6+,9,9,9,9
